Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Quantity,Profit,Sales_Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50,"1,200",300000,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50,"1,000",150000,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40,"1,000",140000,In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45,850,133875,In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,50,"1,000",125000,In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50,"1,250",312500,In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,135000,Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40,950,133000,Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,129937.5,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,50,"1,000",125000,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50,"1,220",305000,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50,925,138750,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40,950,133000,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45,800,126000,Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,60,850,153000,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,50,950,118750,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50,"1,200",300000,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,135000,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40,900,126000,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,129937.5,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,60,825,148500,Outlet
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,50,950,118750,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,220",366000,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,55,925,152625,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50,900,157500,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,50,850,148750,Outlet
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,60,875,157500,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,65,"1,000",162500,Outlet
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,250",375000,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,000",165000,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,50,925,161875,Outlet
